timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,conf_gyro,conf_acc
1669243043.9504,-0.0113446,-0.01309,0.0062832,1.4860001,0.124,10.3380003,0.9922322497676819,0.9803152296062513
1669243043.9604,-0.0175406,-0.0150098,0.0071559,1.83,0.096,10.4160004,0.9599951739166956,0.9353683910668651
1669243043.9705,-0.0178896,-0.0115192,0.0085521,1.6840001,0.052,10.1600008,0.9922318047009179,0.9268384130244323
1669243043.9805,-0.017017,-0.0125664,0.0075049,1.5640001,0.1,10.1400003,0.996116347417223,0.984908273254688
1669243043.9904,-0.0083776,-0.0099484,0.0077667,1.6880001,0.14,10.2620001,0.9510622388961917,0.9530847024655968
1669243044.0005,-0.0038397,-0.0035779,0.0071559,1.5100001,-0.22,10.0160007,0.9487318693198199,0.9435704703197129
1669243044.0105,-0.010821,0.0036652,0.0080285,1.3660001,0.04,8.9880009,0.9646563581362033,0.7782184711896531
1669243044.0205,-0.0389208,0.014748,0.0096866,1.8000001,0.762,8.6940002,0.8182316181097617,0.8585979653344261
1669243044.0304,-0.0403171,0.0225147,0.0176278,1.5920001,-0.58,9.3300009,0.9238748905496965,0.9596461394932044
1669243044.0405,-0.0548906,0.0200713,0.0122173,2.21,0.104,10.2140007,0.9700932937253856,0.8316954025992036
1669243044.0505,-0.0610865,0.0316777,0.009163,1.8000001,-0.1,10.3640003,0.9343615536433696,0.9566934920105831
1669243044.0605,-0.0600393,0.0248709,0.0106465,1.7220001,0.536,10.0640001,0.9716470217985548,0.9904857350461929
1669243044.0704,-0.0553269,0.0283616,0.0109956,1.2360001,0.306,9.4540005,0.996116347417223,0.7824835340286969
1669243044.0805,-0.0475602,0.0319395,0.0105592,1.4200001,0.316,9.2960005,0.979414772030873,0.9940945738030635
1669243044.0904,-0.0388336,0.0434587,0.0097738,1.6040001,0.474,9.3100004,0.991066619912732,0.941601912900926
1669243044.1004,-0.0238237,0.0619592,0.0088139,1.102,0.0,8.4300003,0.9887366954031243,0.6955424388166997
1669243044.1105,0.0213803,0.059603,0.0071559,1.8660001,-0.346,8.7420006,0.9712593686470996,0.7667355996051737
1669243044.1205,0.0236492,0.0592539,0.0034034,1.4200001,0.7,10.6780005,0.9918432614159346,0.6975109634275638
1669243044.1304,0.0231256,0.0610865,0.0085521,2.0020001,-0.498,10.8120003,0.9712589235803355,0.9156836698850013
1669243044.1405,0.0028798,0.0539307,0.0057596,1.6220001,0.328,9.9060001,0.865616096207165,0.7611582854493244
1669243044.1505,0.0028798,0.0641408,0.0049742,1.506,-0.624,9.4040003,0.9580537926920712,0.9471792598646989
1669243044.1604,0.006545,0.0551524,0.0037525,1.784,-0.208,9.2360001,0.9708708253621162,0.9498038445181192
1669243044.1705,0.022602,0.0636173,-0.0008727,1.7060001,-0.328,8.1400003,0.9036782058655527,0.8271022933349201
1669243044.1805,0.0404044,0.0585558,0.0040143,1.7180001,0.132,9.4280005,0.9293122712056427,0.8189002304860339
1669243044.1904,0.0239983,0.0583813,0.0064577,1.46,0.582,9.7620001,0.9370800214379608,0.9137152436979071
1669243044.2004,0.0081158,0.0454658,0.0031416,1.83,-0.054,8.6360006,0.8570708143381163,0.7893732143290842
1669243044.2105,-0.005236,0.0283616,0.0022689,1.432,-0.202,8.7920008,0.9071737602301103,0.9845803088492567
1669243044.7205,0.0185878,0.0318523,-0.0083776,1.3660001,-0.02,9.7740002,0.8978518368578591,0.8795950034489428
1669243044.7305,0.0129154,0.029147,-0.0101229,1.4180001,-0.058,9.4300003,0.9704813919436049,0.9583339537922452
1669243044.7405,0.0102974,0.0275762,-0.0087266,1.508,-0.088,9.0220003,0.9751425761631125,0.9527565740205489
1669243044.7505,0.005236,0.0246964,-0.0086394,1.5760001,-0.154,8.9540005,0.964268259917984,0.9891733360937321
1669243044.7608,-0.0003491,0.019984,-0.0099484,1.2180001,-0.182,9.4060001,0.9631026300630341,0.9799872323928961
1669243044.7705,-0.0034907,0.0064577,-0.0090757,1.4300001,-0.11,10.2300005,0.9498970541080058,0.8418657439995288
1669243044.7805,-0.0043633,0.0024435,-0.0085521,1.5600001,0.014,10.0560007,0.9836874129653972,0.9770344864865048
1669243044.7905,-0.0097738,-0.0063705,-0.0068068,1.7800001,0.05,9.9480009,0.9662096411426085,0.9757221039380056
1669243044.8008,-0.0105592,-0.0128282,-0.0071559,1.6760001,-0.082,9.7700005,0.9662096411426085,0.9589900302387633
1669243044.8105,-0.0089884,-0.021293,-0.0080285,1.6560001,-0.134,9.3260002,0.96543344470617,0.9324156287565118
1669243044.8205,-0.0094248,-0.023911,-0.0089012,1.4580001,-0.086,9.0800009,0.9825217831104474,0.9192926234696037
1669243044.8304,-0.0098611,-0.0320268,-0.0075049,1.414,-0.118,8.9880009,0.968151912500761,0.9829398634715559
1669243044.8405,-0.0045379,-0.0462512,-0.0060214,1.6840001,-0.142,9.1000004,0.9669862826458112,0.9333999812837328
1669243044.8504,-0.0084648,-0.0570723,-0.0050615,1.3700001,-0.078,9.2280006,0.93863374951113,0.958990128662533
1669243044.8605,-0.0137008,-0.066148,-0.0053233,1.4260001,-0.066,9.7260008,0.9351381951465723,0.9110904950048707
1669243044.8705,-0.0133518,-0.0678933,-0.0058469,1.2420001,-0.324,10.5740004,0.9914551631977153,0.8487555391276477
1669243044.8805,-0.0105592,-0.0714712,-0.0047997,1.3080001,-0.036,10.4100008,0.99883437014505,0.9366807736153645
1669243044.8904,-0.0144862,-0.0723439,-0.0085521,1.664,0.088,10.5220003,0.9619374452748483,0.9146994978013584
1669243044.9005,-0.0116937,-0.0649263,-0.0077667,1.7420001,-0.062,10.2240009,0.9510626839629558,0.9596463691486674
1669243044.9105,-0.0087266,-0.068766,-0.0061087,1.674,-0.024,10.2740002,0.9965044456354422,0.9908136502397394
1669243044.9207,-0.0098611,-0.0698132,-0.0071559,1.5180001,-0.124,10.2660007,0.9856292392567857,0.98950156296255
1669243044.9305,-0.0109956,-0.0697259,-0.0093375,1.378,-0.19,9.9980001,0.9856296843235498,0.9438983363013747
1669243044.9406,-0.0124791,-0.0657989,-0.0080285,1.182,-0.182,10.6700001,0.9832988696804139,0.9232294594398296
1669243044.9505,-0.016057,-0.0577704,-0.0095993,1.202,-0.068,10.8180008,0.9871829673299551,0.9911417458768642
1669243044.9604,-0.0189368,-0.0548033,-0.0111701,1.33,-0.138,10.5020008,0.9933974345558678,0.9806433252433757
1669243044.9704,-0.0224275,-0.0496546,-0.010472,1.6900001,0.004,10.6660004,0.9895137819730907,0.9360245987450762
1669243044.9805,-0.0292343,-0.0390081,-0.0103847,1.6400001,-0.058,10.5420008,0.9825222281772114,0.9803153116260593
1669243044.9905,-0.0313287,-0.0358665,-0.0102974,1.48,-0.182,10.1260004,0.9949507175622732,0.9258540112853264
1669243045.0005,-0.0253073,-0.0326377,-0.0101229,1.554,-0.164,10.2260008,0.9580537926920711,0.9744097541974301
